Timestamp,Sales Amount (USD)
01-01-2000,1000
01-02-2000,1100
01-03-2000,1050
01-04-2000,1200
01-05-2000,1150
01-06-2000,1250
01-07-2000,1300
01-08-2000,1350
01-09-2000,1400
01-10-2000,1450
01-11-2000,1500
01-12-2000,1550
01-01-2001,1600
01-02-2001,1650
01-03-2001,1700
01-04-2001,1750
01-05-2001,1800
01-06-2001,1850
01-07-2001,1900
01-08-2001,1950
01-09-2001,2000
01-10-2001,2050
01-11-2001,2100
01-12-2001,2150
01-01-2002,2200
01-02-2002,2250
01-03-2002,2300
01-04-2002,2350
01-05-2002,2400
01-06-2002,2450
01-07-2002,2500
01-08-2002,2550
01-09-2002,2600
01-10-2002,2650
01-11-2002,2700
01-12-2002,2750
01-01-2003,2800
01-02-2003,2850
01-03-2003,2900
01-04-2003,2950
01-05-2003,3000
01-06-2003,3050
01-07-2003,3100
01-08-2003,3150
01-09-2003,3200
01-10-2003,3250
01-11-2003,3300
01-12-2003,3350
01-01-2004,3400
01-02-2004,3450
01-03-2004,3500
01-04-2004,3550
01-05-2004,3600
01-06-2004,3650
01-07-2004,3700
01-08-2004,3750
01-09-2004,3800
01-10-2004,3850
01-11-2004,3900
01-12-2004,3950
01-01-2005,4000
01-02-2005,4050
01-03-2005,4100
01-04-2005,4150
01-05-2005,4200
01-06-2005,4250
01-07-2005,4300
01-08-2005,4350
01-09-2005,4400
01-10-2005,4450
01-11-2005,4500
01-12-2005,4550
01-01-2006,4600
01-02-2006,4650
01-03-2006,4700
01-04-2006,4750
01-05-2006,4800
01-06-2006,4850
01-07-2006,4900
01-08-2006,4950
01-09-2006,5000
01-10-2006,5050
01-11-2006,5100
01-12-2006,5150
01-01-2007,5200
01-02-2007,5250
01-03-2007,5300
01-04-2007,5350
01-05-2007,5400
01-06-2007,5450
01-07-2007,5500
01-08-2007,5550
01-09-2007,5600
01-10-2007,5650
01-11-2007,5700
01-12-2007,5750
01-01-2008,5800
01-02-2008,5850
01-03-2008,5900
01-04-2008,5950
01-05-2008,6000
01-06-2008,6050
01-07-2008,6100
01-08-2008,6150
01-09-2008,6200
01-10-2008,6250
01-11-2008,6300
01-12-2008,6350
01-01-2009,6400
01-02-2009,6450
01-03-2009,6500
01-04-2009,6550
01-05-2009,6600
01-06-2009,6650
01-07-2009,6700
01-08-2009,6750
01-09-2009,6800
01-10-2009,6850
01-11-2009,6900
01-12-2009,6950
01-01-2010,7000
01-02-2010,7050
01-03-2010,7100
01-04-2010,7150
01-05-2010,7200
01-06-2010,7250
01-07-2010,7300
01-08-2010,7350
01-09-2010,7400
01-10-2010,7450
01-11-2010,7500
01-12-2010,7550
01-01-2011,7600
01-02-2011,7650
01-03-2011,7700
01-04-2011,7750
01-05-2011,7800
01-06-2011,7850
01-07-2011,7900
01-08-2011,7950
01-09-2011,8000
01-10-2011,8050
01-11-2011,8100
01-12-2011,8150
01-01-2012,8200
01-02-2012,8250
01-03-2012,8300
01-04-2012,8350
01-05-2012,8400
01-06-2012,8450
01-07-2012,8500
01-08-2012,8550
01-09-2012,8600
01-10-2012,8650
01-11-2012,8700
01-12-2012,8750
01-01-2013,8800
01-02-2013,8850
01-03-2013,8900
01-04-2013,8950
01-05-2013,9000
01-06-2013,9050
01-07-2013,9100
01-08-2013,9150
01-09-2013,9200
01-10-2013,9250
01-11-2013,9300
01-12-2013,9350
01-01-2014,9400
01-02-2014,9450
01-03-2014,9500
01-04-2014,9550
01-05-2014,9600
01-06-2014,9650
01-07-2014,9700
01-08-2014,9750
01-09-2014,9800
01-10-2014,9850
01-11-2014,9900
01-12-2014,9950
01-01-2015,10000
01-02-2015,10050
01-03-2015,10100
01-04-2015,10150
01-05-2015,10200
01-06-2015,10250
01-07-2015,10300
01-08-2015,10350
01-09-2015,10400
01-10-2015,10450
01-11-2015,10500
01-12-2015,10550
01-01-2016,10600
01-02-2016,10650
01-03-2016,10700
01-04-2016,10750
01-05-2016,10800
01-06-2016,10850
01-07-2016,10900
01-08-2016,10950
01-09-2016,11000
01-10-2016,11050
01-11-2016,11100
01-12-2016,11150
01-01-2017,11200
01-02-2017,11250
01-03-2017,11300
01-04-2017,11350
01-05-2017,11400
01-06-2017,11450
01-07-2017,11500
01-08-2017,11550
01-09-2017,11600
01-10-2017,11650
01-11-2017,11700
01-12-2017,11750
01-01-2018,11800
01-02-2018,11850
01-03-2018,11900
01-04-2018,11950
01-05-2018,12000
01-06-2018,12050
01-07-2018,12100
01-08-2018,12150
01-09-2018,12200
01-10-2018,12250
01-11-2018,12300
01-12-2018,12350
01-01-2019,12400
01-02-2019,12450
01-03-2019,12500
01-04-2019,12550
01-05-2019,12600
01-06-2019,12650
01-07-2019,12700
01-08-2019,12750
01-09-2019,12800
01-10-2019,12850
01-11-2019,12900
01-12-2019,12950
01-01-2020,13000
01-02-2020,13050
01-03-2020,13100
01-04-2020,13150
01-05-2020,13200
01-06-2020,13250
01-07-2020,13300
01-08-2020,13350
01-09-2020,13400
01-10-2020,13450
01-11-2020,13500
01-12-2020,13550
01-01-2021,13600
01-02-2021,13650
01-03-2021,13700
01-04-2021,13750
01-05-2021,13800
01-06-2021,13850
01-07-2021,13900
01-08-2021,13950
01-09-2021,14000
01-10-2021,14050
01-11-2021,14100
01-12-2021,14150
01-01-2022,14200
01-02-2022,14250
01-03-2022,14300
01-04-2022,14350
01-05-2022,14400
01-06-2022,14450
01-07-2022,14500
01-08-2022,14550
01-09-2022,14600
01-10-2022,14650
01-11-2022,14700
01-12-2022,14750
01-01-2023,14800
01-02-2023,14850
01-03-2023,14900
01-04-2023,14950
01-05-2023,15000
01-06-2023,15050
01-07-2023,15100
01-08-2023,15150
01-09-2023,15200
01-10-2023,15250
01-11-2023,15300
01-12-2023,15350
01-01-2024,15400
01-02-2024,15450
01-03-2024,15500
01-04-2024,15550
01-05-2024,15600
01-06-2024,15650
01-07-2024,15700
01-08-2024,15750
01-09-2024,15800
01-10-2024,15850
01-11-2024,15900
01-12-2024,15950
01-01-2025,16000
01-02-2025,16050
01-03-2025,16100
01-04-2025,16150
01-05-2025,16200
01-06-2025,16250
01-07-2025,16300
01-08-2025,16350
01-09-2025,16400
01-10-2025,16450
01-11-2025,16500
01-12-2025,16550
01-01-2026,16600
01-02-2026,16650
01-03-2026,16700
01-04-2026,16750
01-05-2026,16800
01-06-2026,16850
01-07-2026,16900
01-08-2026,16950
01-09-2026,17000
01-10-2026,17050
01-11-2026,17100
01-12-2026,17150
01-01-2027,17200
01-02-2027,17250
01-03-2027,17300
01-04-2027,17350
01-05-2027,17400
01-06-2027,17450
01-07-2027,17500
01-08-2027,17550
01-09-2027,17600
01-10-2027,17650
01-11-2027,17700
01-12-2027,17750
01-01-2028,17800
01-02-2028,17850
01-03-2028,17900
01-04-2028,17950
01-05-2028,18000
01-06-2028,18050
01-07-2028,18100
01-08-2028,18150
01-09-2028,18200
01-10-2028,18250
01-11-2028,18300
01-12-2028,18350
01-01-2029,18400
01-02-2029,18450
01-03-2029,18500
01-04-2029,18550
01-05-2029,18600
01-06-2029,18650
01-07-2029,18700
01-08-2029,18750
01-09-2029,18800
01-10-2029,18850
01-11-2029,18900
01-12-2029,18950
01-01-2030,19000
01-02-2030,19050
01-03-2030,19100
01-04-2030,19150
01-05-2030,19200
01-06-2030,19250
01-07-2030,19300
01-08-2030,19350
01-09-2030,19400
01-10-2030,19450
01-11-2030,19500
01-12-2030,19550
01-01-2031,19600
01-02-2031,19650
